Time, C12_R_ch1, C12_R_ch2, P12_W_ch1, P12_W_ch2
0.4213, 0, 0, 0, 0
0.5959, 0, 0, 86, 0
0.6190, 86, 0, 86, 0
0.8088, 86, 0, 86, 0
0.8449, 86, 77, 86, 0
0.9388, 86, 77, 86, 77
1.1398, 86, 77, 86, 77
1.2032, 86, 77, 93, 77
1.2365, 93, 77, 93, 77
1.3093, 93, 77, 93, 77
1.3340, 93, 35, 93, 77
1.5441, 93, 35, 93, 35
1.7014, 93, 35, 93, 35
1.8694, 93, 35, 92, 35
1.8851, 92, 35, 92, 35
1.9842, 92, 35, 92, 35
2.0395, 92, 35, 92, 49
2.0585, 92, 49, 92, 49
2.3611, 92, 49, 92, 49
2.4856, 92, 49, 62, 49
2.5046, 62, 49, 62, 49
2.5895, 62, 49, 62, 49
2.6626, 62, 49, 62, 27
2.7122, 62, 27, 62, 27
2.9538, 62, 27, 62, 27
3.1449, 62, 27, 59, 27
3.1632, 59, 27, 59, 27
3.1941, 59, 27, 59, 27
3.2420, 59, 27, 59, 63
3.2889, 59, 63, 59, 63
3.6498, 59, 63, 59, 63
3.7767, 59, 63, 40, 63
3.8133, 40, 63, 40, 63
3.8991, 40, 63, 40, 63
3.9265, 40, 26, 40, 63
4.0427, 40, 26, 40, 26
4.1440, 40, 26, 40, 26
4.3301, 40, 26, 36, 26
4.3506, 36, 26, 36, 26
4.4330, 36, 26, 36, 26
4.5142, 36, 26, 36, 11
4.5492, 36, 11, 36, 11
4.8071, 36, 11, 36, 11
4.9981, 36, 11, 67, 11
5.0420, 67, 11, 67, 11
5.1373, 67, 11, 67, 11
5.1599, 67, 29, 67, 11
5.3222, 67, 29, 67, 29
5.5795, 67, 29, 67, 29
5.7406, 67, 29, 30, 29
5.7823, 30, 29, 30, 29
5.8351, 30, 29, 30, 29
5.8594, 30, 62, 30, 29
5.9730, 30, 62, 30, 62
6.1217, 30, 62, 30, 62
6.2618, 30, 62, 67, 62
6.3027, 67, 62, 67, 62
6.3945, 67, 62, 67, 62
6.4166, 67, 35, 67, 62
6.5487, 67, 35, 67, 35
6.7357, 67, 35, 67, 35
6.8601, 67, 35, 2, 35
6.8845, 2, 35, 2, 35
6.9624, 2, 35, 2, 35
7.0352, 2, 35, 2, 22
7.0807, 2, 22, 2, 22
9.0118, 2, 22, 2, 22
9.2338, 2, 22, 69, 22
9.2785, 69, 22, 69, 22
9.3926, 69, 22, 69, 22
9.5050, 69, 22, 69, 67
9.5106, 69, 67, 69, 67
9.7807, 69, 67, 69, 67
9.9148, 69, 67, 56, 67
9.9475, 56, 67, 56, 67
10.0426, 56, 67, 56, 67
10.0662, 56, 11, 56, 67
10.1149, 56, 11, 56, 11
10.2997, 56, 11, 56, 11
10.4546, 56, 11, 29, 11
10.4737, 29, 11, 29, 11
10.5659, 29, 11, 29, 11
10.6199, 29, 11, 29, 73
10.6528, 29, 73, 29, 73
10.9407, 29, 73, 29, 73
11.0026, 29, 73, 19, 73
11.0451, 19, 73, 19, 73
11.1153, 19, 73, 19, 73
11.1697, 19, 73, 19, 84
11.2031, 19, 84, 19, 84
11.6387, 19, 84, 19, 84
11.6926, 19, 84, 98, 84
11.7402, 98, 84, 98, 84
11.8249, 98, 84, 98, 84
11.8758, 98, 84, 98, 24
11.9610, 98, 24, 98, 24
12.3400, 98, 24, 98, 24
12.6015, 98, 24, 70, 24
12.6630, 70, 24, 70, 24
12.7388, 70, 24, 70, 24
12.7640, 70, 13, 70, 24
12.8070, 70, 13, 70, 13
12.9520, 70, 13, 70, 13
13.1080, 70, 13, 91, 13
13.1359, 91, 13, 91, 13
13.2261, 91, 13, 91, 13
13.2895, 91, 13, 91, 80
13.3280, 91, 80, 91, 80
13.7336, 91, 80, 91, 80
13.8367, 91, 80, 73, 80
13.9837, 73, 80, 73, 80
14.1006, 73, 80, 73, 80
14.1537, 73, 62, 73, 80
14.1995, 73, 62, 73, 62
14.5261, 73, 62, 73, 62
14.6632, 73, 62, 96, 62
14.7889, 96, 62, 96, 62
14.8944, 96, 62, 96, 62
14.9201, 96, 81, 96, 62
14.9751, 96, 81, 96, 81
15.1932, 96, 81, 96, 81
15.3027, 96, 81, 25, 81
15.4007, 25, 81, 25, 81
15.4715, 25, 81, 25, 81
15.4984, 25, 84, 25, 81
15.5624, 25, 84, 25, 84
15.7703, 25, 84, 25, 84
15.9641, 25, 84, 36, 84
16.0265, 36, 84, 36, 84
16.1005, 36, 84, 36, 84
16.1343, 36, 5, 36, 84
16.2113, 36, 5, 36, 5
16.4637, 36, 5, 36, 5
16.5660, 36, 5, 29, 5
16.6834, 29, 5, 29, 5
16.7595, 29, 5, 29, 5
16.7891, 29, 13, 29, 5
16.8230, 29, 13, 29, 13
17.0516, 29, 13, 29, 13
17.2256, 29, 13, 24, 13
17.2796, 24, 13, 24, 13
17.3435, 24, 13, 24, 13
17.3697, 24, 95, 24, 13
17.4923, 24, 95, 24, 95
17.7280, 24, 95, 24, 95
17.8072, 24, 95, 45, 95
17.9254, 45, 95, 45, 95
18.0046, 45, 95, 45, 95
18.0347, 45, 14, 45, 95
18.0617, 45, 14, 45, 14
18.2644, 45, 14, 45, 14
18.4229, 45, 14, 34, 14
18.4816, 34, 14, 34, 14
