Time, C12_R_ch1, C12_R_ch2, C122_R_ch12, C122_R_ch22, P12_W_ch1, P12_W_ch2, P122_W_ch12, P122_W_ch22
0.5186, 0, 0, 0, 0, 0, 0, 0, 0
0.5310, 0, 0, 0, 0, 0, 0, 0, 0
0.7375, 0, 0, 0, 0, 0, 0, 15, 0
0.7721, 0, 0, 15, 0, 0, 0, 15, 0
0.9641, 0, 0, 15, 0, 0, 0, 15, 0
0.9750, 0, 0, 15, 93, 0, 0, 15, 0
0.9760, 0, 0, 15, 93, 35, 0, 15, 0
1.1065, 0, 0, 15, 93, 35, 0, 15, 93
1.1328, 35, 0, 15, 93, 35, 0, 15, 93
1.2558, 35, 0, 15, 93, 35, 0, 15, 93
1.3119, 35, 86, 15, 93, 35, 0, 15, 93
1.3629, 35, 86, 15, 93, 35, 86, 15, 93
2.0910, 35, 86, 15, 93, 35, 86, 15, 93
2.0987, 35, 86, 15, 93, 35, 86, 15, 93
2.1739, 35, 86, 15, 93, 62, 86, 15, 93
2.1741, 62, 86, 15, 93, 62, 86, 15, 93
2.1741, 62, 86, 15, 93, 62, 86, 90, 93
2.1742, 62, 86, 90, 93, 62, 86, 90, 93
2.1743, 62, 86, 90, 93, 62, 86, 90, 93
2.8837, 62, 27, 90, 93, 62, 86, 90, 93
2.9412, 62, 27, 90, 93, 62, 86, 90, 93
2.9724, 62, 27, 90, 59, 62, 86, 90, 93
2.9761, 62, 27, 90, 59, 62, 27, 90, 93
3.1578, 62, 27, 90, 59, 62, 27, 90, 59
3.4140, 62, 27, 90, 59, 62, 27, 90, 59
3.4195, 62, 27, 90, 59, 62, 27, 90, 59
3.5406, 62, 27, 90, 59, 26, 27, 90, 59
3.6595, 26, 27, 90, 59, 26, 27, 90, 59
3.6875, 26, 27, 90, 59, 26, 27, 36, 59
3.8029, 26, 27, 36, 59, 26, 27, 36, 59
3.8258, 26, 27, 36, 59, 26, 27, 36, 59
3.9097, 26, 72, 36, 59, 26, 27, 36, 59
3.9558, 26, 72, 36, 59, 26, 27, 36, 59
3.9906, 26, 72, 36, 11, 26, 27, 36, 59
4.1206, 26, 72, 36, 11, 26, 72, 36, 59
4.1375, 26, 72, 36, 11, 26, 72, 36, 11
4.4217, 26, 72, 36, 11, 26, 72, 36, 11
4.5213, 26, 72, 36, 11, 26, 72, 36, 11
4.6538, 26, 72, 36, 11, 82, 72, 36, 11
4.6940, 82, 72, 36, 11, 82, 72, 36, 11
4.7647, 82, 72, 36, 11, 82, 72, 62, 11
4.9239, 82, 72, 36, 11, 82, 72, 62, 11
4.9241, 82, 72, 62, 11, 82, 72, 62, 11
4.9480, 82, 30, 62, 11, 82, 72, 62, 11
5.0562, 82, 30, 62, 11, 82, 72, 62, 11
5.0934, 82, 30, 62, 23, 82, 72, 62, 11
5.1186, 82, 30, 62, 23, 82, 30, 62, 11
5.1418, 82, 30, 62, 23, 82, 30, 62, 23
5.3789, 82, 30, 62, 23, 82, 30, 62, 23
5.5463, 82, 30, 62, 23, 82, 30, 62, 23
5.8452, 82, 30, 62, 23, 82, 30, 2, 23
5.9572, 82, 30, 2, 23, 82, 30, 2, 23
5.9781, 82, 30, 2, 23, 58, 30, 2, 23
6.1458, 82, 30, 2, 23, 58, 30, 2, 23
6.1581, 58, 30, 2, 23, 58, 30, 2, 23
6.1808, 58, 30, 2, 22, 58, 30, 2, 23
6.2285, 58, 30, 2, 22, 58, 30, 2, 22
6.3787, 58, 30, 2, 22, 58, 30, 2, 22
6.3876, 58, 69, 2, 22, 58, 30, 2, 22
6.4983, 58, 69, 2, 22, 58, 69, 2, 22
6.7165, 58, 69, 2, 22, 58, 69, 2, 22
6.8117, 58, 69, 2, 22, 58, 69, 2, 22
6.8451, 58, 69, 29, 22, 58, 69, 2, 22
6.8482, 58, 69, 29, 22, 11, 69, 2, 22
6.9350, 58, 69, 29, 22, 11, 69, 2, 22
6.9770, 11, 69, 29, 22, 11, 69, 2, 22
7.0478, 11, 69, 29, 22, 11, 69, 29, 22
7.1125, 11, 69, 29, 22, 11, 69, 29, 22
7.1451, 11, 42, 29, 22, 11, 69, 29, 22
7.2187, 11, 42, 29, 22, 11, 42, 29, 22
7.2217, 11, 42, 29, 22, 11, 42, 29, 73
7.3287, 11, 42, 29, 73, 11, 42, 29, 73
7.6268, 11, 42, 29, 73, 11, 42, 29, 73
7.7558, 11, 42, 29, 73, 11, 42, 29, 73
7.9042, 11, 42, 29, 73, 11, 42, 37, 73
8.0467, 11, 42, 29, 73, 24, 42, 37, 73
8.0900, 11, 42, 37, 73, 24, 42, 37, 73
8.0978, 24, 42, 37, 73, 24, 42, 37, 73
8.2618, 24, 42, 37, 73, 24, 42, 37, 73
8.2724, 24, 42, 37, 73, 24, 42, 37, 73
8.2825, 24, 15, 37, 73, 24, 42, 37, 73
8.2949, 24, 15, 37, 98, 24, 42, 37, 73
8.3788, 24, 15, 37, 98, 24, 15, 37, 73
8.5675, 24, 15, 37, 98, 24, 15, 37, 98
8.8600, 24, 15, 37, 98, 24, 15, 37, 98
8.9049, 24, 15, 37, 98, 24, 15, 37, 98
8.9357, 24, 15, 91, 98, 24, 15, 37, 98
8.9563, 24, 15, 91, 98, 56, 15, 37, 98
9.0414, 56, 15, 91, 98, 56, 15, 37, 98
9.1909, 56, 15, 91, 98, 56, 15, 37, 98
9.1953, 56, 15, 91, 98, 56, 15, 91, 98
9.2123, 56, 15, 91, 98, 56, 15, 91, 98
9.2224, 56, 15, 91, 98, 56, 73, 91, 98
9.2766, 56, 73, 91, 98, 56, 73, 91, 98
9.3397, 56, 73, 91, 98, 56, 73, 91, 80
9.4056, 56, 73, 91, 80, 56, 73, 91, 80
